Disease,Primary Symptom 1,Primary Symptom 2,Primary Symptom 3,Primary Symptom 4,Additional Symptom 1,Additional Symptom 2,Additional Symptom 3,Additional Symptom 4,Category
Candidiasis,White patches in mouth,Skin rash and itching,Vaginal discharge,,,,,,Infectious
Carpal Tunnel Syndrome,Numbness in hand/fingers,Tingling in fingers,Hand weakness,Wrist pain,,,,,Musculoskeletal
Cataracts,Cloudy vision,Blurry vision,Fading colors,Glare around lights,,,,,Ophthalmological
Celiac Disease,Diarrhea,Abdominal pain,Bloating,Unintended weight loss,,,,,Autoimmune
Cellulitis,Red skin,Swollen skin,Warm skin,Tender skin,,,,,Infectious
Cerebral Palsy,Impaired movement,Abnormal reflexes,Floppy limbs,Involuntary motions,,,,,Neurological
Cervical Cancer,Abnormal vaginal bleeding,Pelvic pain,Pain during intercourse,,,,,,Oncological
Chickenpox,Itchy blister-like rash,Fever,Tiredness,,,,,,Infectious
Chikungunya,Sudden high fever,Severe joint pain,Headache,Rash,,,,,Infectious
Chlamydia,Often asymptomatic,Painful urination,Abnormal discharge,Lower abdominal pain,,,,,Infectious
Cholangitis,Fever,Abdominal pain,Jaundice,,,,,,Gastrointestinal
Cholecystitis,Severe upper right abdominal pain,Fever,Nausea,Bloating,,,,,Gastrointestinal
Cholera,Severe watery diarrhea,Vomiting,Dehydration,Leg cramps,,,,,Infectious
Chronic Fatigue Syndrome,Severe fatigue,Post-exertional malaise,Cognitive difficulties,Pain,,,,,Neurological
Chronic Kidney Disease,Often no early symptoms,Fatigue,Swelling in legs,Changes in urination,,,,,Urological
COPD,Shortness of breath,Chronic cough,Wheezing,Excessive mucus,,,,,Respiratory
Cirrhosis,Fatigue,Easy bruising,Jaundice,Fluid retention,,,,,Gastrointestinal
Cleft Lip and Palate,Physical split in upper lip,Physical split in roof of mouth,,,,,,,Congenital
Cluster Headache,Excruciating eye pain,Eye watering,Nasal congestion,,,,,,Neurological
Clostridium difficile Infection,Watery diarrhea,Abdominal cramping,Fever,Nausea,,,,,Infectious
Colitis,Diarrhea,Abdominal pain,Rectal bleeding,Urgent need to defecate,,,,,Gastrointestinal
Colorectal Cancer,Change in bowel habits,Blood in stool,Abdominal discomfort,,,,,,Oncological
Common Cold,Runny nose,Stuffy nose,Sore throat,Cough,Sneezing,,,, Infectious
Compartment Syndrome,Severe pain,Muscle tightness,Numbness,,,,,,Musculoskeletal
Concussion,Headache,Confusion,Memory loss,Dizziness,,,,,Neurological
Congenital Heart Disease,Abnormal heart rhythm,Blue-tinged skin,Shortness of breath,,,,,,Cardiovascular
Congestive Heart Failure,Shortness of breath,Fatigue,Swelling in legs,Swelling in feet,,,,,Cardiovascular
Conjunctivitis,Redness in eye,Itchiness,Gritty feeling,Discharge,,,,,Ophthalmological
Constipation,Fewer than 3 bowel movements weekly,Hard stools,Lumpy stools,Straining,,,,,Gastrointestinal
Contact Dermatitis,Red rash,Intense itching,Dry skin,Blisters,,,,,Dermatological
Coronary Artery Disease,Chest pain,Shortness of breath,,,,,,,Cardiovascular
Costochondritis,Sharp chest pain,Aching chest pain,Worse with deep breaths,Worse with coughing,,,,,Musculoskeletal
COVID-19,Fever,Cough,Shortness of breath,Loss of taste or smell,Chills,Body aches,Sore throat,,Infectious
Creutzfeldt-Jakob Disease,Rapidly progressive dementia,Memory loss,Personality changes,Muscle jerks,,,,,Neurological
Crohn's Disease,Diarrhea,Abdominal cramps,Weight loss,Rectal bleeding,,,,,Gastrointestinal
Croup,Barking cough,Hoarse voice,Noisy breathing,,,,,,Respiratory
Cushing's Syndrome,Weight gain in face,Weight gain in upper back,Purple stretch marks,High blood pressure,,,,,Endocrine
Cyclic Vomiting Syndrome,Recurrent nausea episodes,Recurrent vomiting episodes,,,,,,,Gastrointestinal
Cyclothymia,Hypomanic periods,Depressive periods,,,,,,,Mental Health
Cystic Fibrosis,Persistent cough with mucus,Frequent lung infections,Poor growth,Very salty skin,,,,,Genetic
Cystitis,Frequent urge to urinate,Burning with urination,Cloudy urine,Bloody urine,,,,,Infectious
Cytomegalovirus Infection,Often asymptomatic,Fever,Sore throat,Fatigue,,,,,Infectious
Dandruff,Flaky white scalp,Itchy scalp,Greasy scalp skin,,,,,,Dermatological
Dandy-Walker Syndrome,Slow motor development,Large head size,Poor coordination,Vomiting,,,,,Neurological
Darier's Disease,Warty skin blemishes,Thick nails,Split nails,Rash in skin folds,,,,,Dermatological
De Quervain's Tenosynovitis,Thumb-side wrist pain,Swelling near thumb,Difficulty gripping,,,,,,Musculoskeletal
Deep Vein Thrombosis,Leg swelling,Leg pain,Red skin on leg,Warm skin on leg,,,,,Cardiovascular
Degenerative Disc Disease,Chronic low back pain,Pain radiating to legs,Numbness,Tingling,,,,,Musculoskeletal
Dehydration,Thirst,Dark yellow urine,Fatigue,Dizziness,,,,,General
Delirium,Acute confusion,Attention problems,Fluctuating awareness,Disorientation,,,,,Neurological
Delusional Disorder,Persistent delusions,,,,,,,, Mental Health
Dementia,Memory loss,Difficulty problem-solving,Confusion,Personality changes,,,,,Neurological
Dementia with Lewy Bodies,Cognitive fluctuations,Visual hallucinations,Parkinsonism symptoms,,,,,,Neurological
Dengue Fever,High fever,Severe headache,Joint pain,Muscle pain,Rash,,,, Infectious
Dental Caries,Toothache,Tooth sensitivity,Visible holes in teeth,,,,,,Dental
Depression,Persistent low mood,Loss of interest,Fatigue,Sleep changes,Feelings of worthlessness,Difficulty concentrating,,,Mental Health
Dermatitis Herpetiformis,Intensely itchy blisters,Rash on elbows,Rash on knees,Burning sensation,,,,,Dermatological
Dermatomyositis,Progressive muscle weakness,Distinctive skin rash,Trouble swallowing,,,,,,Autoimmune
Developmental Coordination Disorder,Clumsiness,Poor coordination,Difficulty with motor tasks,,,,,,Neurological
Diabetes Insipidus,Extreme thirst,Frequent urination,Large amounts of diluted urine,,,,,,Endocrine
Diabetes Mellitus,Increased thirst,Frequent urination,Unexplained weight loss,Fatigue,,,,,Endocrine
Diabetic Ketoacidosis,Nausea,Vomiting,Abdominal pain,Fruity-scented breath,Rapid breathing,,,, Endocrine
Diabetic Nephropathy,Swelling in legs,Swelling in feet,Protein in urine,Worsening blood pressure,,,,,Urological
Diabetic Neuropathy,Numbness in feet,Numbness in hands,Tingling pain,Burning pain,Muscle weakness,,,, Neurological
Diabetic Retinopathy,Blurry vision,Floaters,Vision loss,Dark spots,,,,,Ophthalmological
Diaper Dermatitis,Red rash on buttocks,Irritated skin,Fussiness in infants,,,,,,Dermatological
DiGeorge Syndrome,Heart defects,Frequent infections,Developmental delay,Distinct facial features,,,,,Genetic
Diphtheria,Sore throat,Thick gray membrane in throat,Swollen neck glands,Fever,,,,,Infectious
Disc Herniation,Radiating arm pain,Radiating leg pain,Numbness,Tingling,Muscle weakness,,,, Musculoskeletal
Discoid Lupus Erythematosus,Scaly disc-shaped sores,Scarring,Sores on scalp,Sores on face,,,,,Autoimmune
Disseminated Intravascular Coagulation,Widespread bleeding,Bruising,Blood clots,Low blood pressure,,,,,Hematological
Dissociative Identity Disorder,Two or more distinct identities,Memory gaps,Personal distress,,,,,,Mental Health
Diverticulitis,Severe abdominal pain,Fever,Nausea,Change in bowel habits,,,,,Gastrointestinal
Diverticulosis,Often no symptoms,Mild cramps,Bloating,Constipation,,,,,Gastrointestinal
Down Syndrome,Distinct facial appearance,Intellectual disability,Developmental delays,,,,,,Genetic
Dracunculiasis,Painful skin blister,Emerging worm from skin,Intense burning pain,,,,,,Infectious
Dressler Syndrome,Chest pain,Fever,Fatigue,Shortness of breath,,,,,Cardiovascular
Dry Eye Syndrome,Eye dryness,Gritty sensation,Burning,Stinging,Blurred vision,,,, Ophthalmological
Duchenne Muscular Dystrophy,Progressive muscle weakness,Frequent falls,Difficulty walking,Large calf muscles,,,,,Genetic
Dumping Syndrome,Nausea,Cramping,Diarrhea,Dizziness,Rapid heart rate after eating,,,, Gastrointestinal
Dupuytren's Contracture,Knots of tissue under skin,Fingers pulled toward palm,Limited hand function,,,,,,Musculoskeletal
Dysentery,Bloody diarrhea,Abdominal cramps,Fever,Nausea,,,,,Infectious
Dyshidrotic Eczema,Small itchy blisters,Rash on hands,Rash on feet,Peeling skin,,,,,Dermatological
Dyslexia,Difficulty reading,Trouble spelling,Slow reading speed,Mispronouncing words,,,,,Neurological
Dysmenorrhea,Painful menstrual cramps,Lower abdominal pain,Back pain,Headache,,,,,Gynecological
