Disease,Category,Primary Symptoms,Secondary Symptoms,Severe Symptoms
Influenza (Flu),Infectious,"Fever, Cough, Sore throat","Muscle aches, Fatigue, Headache, Chills",High fever
Common Cold,Infectious,"Runny nose, Sneezing, Sore throat","Cough, Congestion, Mild headache, Mild fever",None
COVID-19,Infectious,"Fever, Cough, Loss of taste or smell","Fatigue, Body aches, Sore throat","Difficulty breathing, Severe fatigue"
Pneumonia,Infectious,"Cough with phlegm, Fever, Chest pain","Shortness of breath, Fatigue, Sweating, Chills","Severe shortness of breath, High fever"
Tuberculosis,Infectious,"Persistent cough, Coughing up blood, Chest pain","Weight loss, Fever, Night sweats, Fatigue","Coughing up blood, Severe weight loss"
Diabetes Type 1,Endocrine,"Increased thirst, Frequent urination, Extreme hunger","Weight loss, Fatigue, Blurred vision, Slow healing","Diabetic ketoacidosis, Severe hypoglycemia"
Diabetes Type 2,Endocrine,"Increased thirst, Frequent urination, Fatigue","Blurred vision, Slow healing, Numbness in extremities, Increased hunger","Diabetic coma, Severe hyperglycemia"
Hypertension,Cardiovascular,"Often no symptoms","Headache, Shortness of breath, Nosebleeds (in severe cases)","Stroke, Heart attack"
Coronary Artery Disease,Cardiovascular,"Chest pain, Shortness of breath","Fatigue, Heart palpitations, Weakness","Heart attack, Severe chest pain"
Heart Attack,Cardiovascular,"Severe chest pain, Pressure in chest","Pain in arms/jaw/back, Shortness of breath, Nausea, Cold sweats","Cardiac arrest, Severe crushing chest pain"
Stroke,Cardiovascular,"Sudden numbness, Confusion, Trouble speaking","Severe headache, Vision problems, Difficulty walking, Dizziness","Loss of consciousness, Paralysis"
Asthma,Respiratory,"Wheezing, Shortness of breath, Chest tightness","Coughing, Difficulty breathing, Fatigue","Severe asthma attack, Unable to breathe"
COPD,Respiratory,"Shortness of breath, Chronic cough","Wheezing, Chest tightness, Frequent respiratory infections, Fatigue","Respiratory failure, Severe breathlessness"
Bronchitis,Respiratory,"Persistent cough with mucus, Chest discomfort","Fatigue, Shortness of breath, Slight fever, Chills",None
Alzheimer's Disease,Neurological,"Memory loss, Confusion, Difficulty thinking","Personality changes, Difficulty speaking, Disorientation, Mood swings","Severe memory loss, Complete disorientation"
Parkinson's Disease,Neurological,"Tremors, Stiffness, Slow movement","Balance problems, Speech changes, Writing changes, Loss of automatic movements","Severe mobility impairment, Falls"
Multiple Sclerosis,Neurological,"Numbness, Vision problems, Weakness","Fatigue, Difficulty walking, Dizziness, Bladder problems","Paralysis, Severe vision loss"
Epilepsy,Neurological,"Seizures, Temporary confusion","Staring spells, Uncontrollable jerking, Loss of consciousness","Status epilepticus, Prolonged seizures"
Migraine,Neurological,"Severe headache, Throbbing pain","Nausea, Vomiting, Sensitivity to light/sound, Visual disturbances","Debilitating pain, Chronic migraines"
Osteoarthritis,Musculoskeletal,"Joint pain, Stiffness","Swelling, Decreased range of motion, Bone spurs","Severe joint damage, Disability"
Rheumatoid Arthritis,Autoimmune,"Joint pain, Swelling, Stiffness","Fatigue, Fever, Loss of appetite, Morning stiffness","Joint deformity, Severe disability"
Osteoporosis,Musculoskeletal,"Often no symptoms until fracture","Back pain, Loss of height, Stooped posture","Bone fractures, Spinal compression"
