Question,Answer,Answered
"A patient presents with White patches in mouth, Skin rash and itching and Vaginal discharge. What is the most likely diagnosis?",Candidiasis,0
"A patient presents with Numbness in hand/fingers, Tingling in fingers, Hand weakness and Wrist pain. What is the most likely diagnosis?",Carpal Tunnel Syndrome,0
"A patient presents with Cloudy vision, Blurry vision, Fading colors and Glare around lights. What is the most likely diagnosis?",Cataracts,0
"A patient presents with Diarrhea, Abdominal pain, Bloating and Unintended weight loss. What is the most likely diagnosis?",Celiac Disease,0
"A patient presents with Red skin, Swollen skin, Warm skin and Tender skin. What is the most likely diagnosis?",Cellulitis,0
"A patient presents with Impaired movement, Abnormal reflexes, Floppy limbs and Involuntary motions. What is the most likely diagnosis?",Cerebral Palsy,0
"A patient presents with Abnormal vaginal bleeding, Pelvic pain and Pain during intercourse. What is the most likely diagnosis?",Cervical Cancer,0
"A patient presents with Itchy blister-like rash, Fever and Tiredness. What is the most likely diagnosis?",Chickenpox,0
"A patient presents with Sudden high fever, Severe joint pain, Headache and Rash. What is the most likely diagnosis?",Chikungunya,0
"A patient presents with Often asymptomatic, Painful urination, Abnormal discharge and Lower abdominal pain. What is the most likely diagnosis?",Chlamydia,0
"A patient presents with Fever, Abdominal pain and Jaundice. What is the most likely diagnosis?",Cholangitis,0
"A patient presents with Severe upper right abdominal pain, Fever, Nausea and Bloating. What is the most likely diagnosis?",Cholecystitis,0
"A patient presents with Severe watery diarrhea, Vomiting, Dehydration and Leg cramps. What is the most likely diagnosis?",Cholera,0
"A patient presents with Severe fatigue, Post-exertional malaise, Cognitive difficulties and Pain. What is the most likely diagnosis?",Chronic Fatigue Syndrome,0
"A patient presents with Often no early symptoms, Fatigue, Swelling in legs and Changes in urination. What is the most likely diagnosis?",Chronic Kidney Disease,0
"A patient presents with Shortness of breath, Chronic cough, Wheezing and Excessive mucus. What is the most likely diagnosis?",COPD,0
"A patient presents with Fatigue, Easy bruising, Jaundice and Fluid retention. What is the most likely diagnosis?",Cirrhosis,0
A patient presents with Physical split in upper lip and Physical split in roof of mouth. What is the most likely diagnosis?,Cleft Lip and Palate,0
"A patient presents with Excruciating eye pain, Eye watering and Nasal congestion. What is the most likely diagnosis?",Cluster Headache,0
"A patient presents with Watery diarrhea, Abdominal cramping, Fever and Nausea. What is the most likely diagnosis?",Clostridium difficile Infection,0
"A patient presents with Diarrhea, Abdominal pain, Rectal bleeding and Urgent need to defecate. What is the most likely diagnosis?",Colitis,0
"A patient presents with Change in bowel habits, Blood in stool and Abdominal discomfort. What is the most likely diagnosis?",Colorectal Cancer,0
"A patient presents with Runny nose, Stuffy nose, Sore throat, Cough and Sneezing. What is the most likely diagnosis?",Common Cold,0
"A patient presents with Severe pain, Muscle tightness and Numbness. What is the most likely diagnosis?",Compartment Syndrome,0
"A patient presents with Headache, Confusion, Memory loss and Dizziness. What is the most likely diagnosis?",Concussion,0
"A patient presents with Abnormal heart rhythm, Blue-tinged skin and Shortness of breath. What is the most likely diagnosis?",Congenital Heart Disease,0
"A patient presents with Shortness of breath, Fatigue, Swelling in legs and Swelling in feet. What is the most likely diagnosis?",Congestive Heart Failure,0
"A patient presents with Redness in eye, Itchiness, Gritty feeling and Discharge. What is the most likely diagnosis?",Conjunctivitis,0
"A patient presents with Fewer than 3 bowel movements weekly, Hard stools, Lumpy stools and Straining. What is the most likely diagnosis?",Constipation,0
"A patient presents with Red rash, Intense itching, Dry skin and Blisters. What is the most likely diagnosis?",Contact Dermatitis,0
A patient presents with Chest pain and Shortness of breath. What is the most likely diagnosis?,Coronary Artery Disease,0
"A patient presents with Sharp chest pain, Aching chest pain, Worse with deep breaths and Worse with coughing. What is the most likely diagnosis?",Costochondritis,0
"A patient presents with Fever, Cough, Shortness of breath, Loss of taste or smell, Chills, Body aches and Sore throat. What is the most likely diagnosis?",COVID-19,0
"A patient presents with Rapidly progressive dementia, Memory loss, Personality changes and Muscle jerks. What is the most likely diagnosis?",Creutzfeldt-Jakob Disease,0
"A patient presents with Diarrhea, Abdominal cramps, Weight loss and Rectal bleeding. What is the most likely diagnosis?",Crohn's Disease,0
"A patient presents with Barking cough, Hoarse voice and Noisy breathing. What is the most likely diagnosis?",Croup,0
"A patient presents with Weight gain in face, Weight gain in upper back, Purple stretch marks and High blood pressure. What is the most likely diagnosis?",Cushing's Syndrome,0
A patient presents with Recurrent nausea episodes and Recurrent vomiting episodes. What is the most likely diagnosis?,Cyclic Vomiting Syndrome,0
A patient presents with Hypomanic periods and Depressive periods. What is the most likely diagnosis?,Cyclothymia,0
"A patient presents with Persistent cough with mucus, Frequent lung infections, Poor growth and Very salty skin. What is the most likely diagnosis?",Cystic Fibrosis,0
